State,Count_x,Count_y
CA,163,75.0
FL,154,27.0
NY,153,36.0
TX,148,23.0
IL,142,17.0
PA,136,14.0
GA,132,3.0
NC,132,9.0
OH,130,18.0
NJ,124,24.0
WA,122,10.0
MD,119,8.0
MI,116,11.0
VA,116,3.0
IN,106,2.0
MO,106,5.0
TN,105,5.0
MA,105,10.0
WI,104,12.0
AZ,103,6.0
MN,100,7.0
CO,97,7.0
KY,96,2.0
OR,95,16.0
CT,90,8.0
UT,89,5.0
AL,89,2.0
SC,88,1.0
NV,87,1.0
IA,87,8.0
LA,84,
KS,79,4.0
OK,77,1.0
ID,76,4.0
AR,72,4.0
NE,70,2.0
NH,70,
DE,67,
NM,67,1.0
ME,66,1.0
MS,66,1.0
RI,65,1.0
HI,63,4.0
MT,62,
WV,62,1.0
VT,60,2.0
SD,60,1.0
WY,58,
ND,58,
AK,54,
